split,lang,method,n,exact,token_f1
validation,en,majority_by_class,1053,0.36752136752136755,0.3755935422602089
validation,en,question_only_template,1053,0.2070275403608737,0.23018777676897337
validation,en,question_only_bm25,1053,0.2070275403608737,0.23033590868348702
validation,en,qwen_constrained,1053,0.6049382716049383,0.6432307747122562
validation,en,qwen_class,1053,0.6144349477682811,0.6609468720579832
validation,en,qwen_evidence_final,1053,0.5593542260208927,0.6044687137279731
validation,en,qwen_constrained_template,1053,0.5470085470085471,0.5843967523454703
validation,en,qwen_class_template,1053,0.5574548907882241,0.593220130613293
validation,en,qwen_evidence_template,1053,0.6324786324786325,0.683498133711809
validation,en,qwen_constrained_bm25,1053,0.5470085470085471,0.5916628691557467
validation,en,qwen_class_bm25,1053,0.5641025641025641,0.6082867117055152
validation,en,qwen_evidence_bm25,1053,0.5631528964862298,0.6206787514479822
validation,en,qwen_bucket_gate,1053,0.6533713200379867,0.6989211880237521
test,en,majority_by_class,1061,0.3590951932139491,0.3633364750235627
test,en,question_only_template,1061,0.18378887841658811,0.2050621490772292
test,en,question_only_bm25,1061,0.18378887841658811,0.2045262204545899
test,en,qwen_constrained,1061,0.6069745523091423,0.6533191282484403
test,en,qwen_class,1061,0.6286522148916117,0.6753709679983305
test,en,qwen_evidence_final,1061,0.5768143261074458,0.6257031513283842
test,en,qwen_constrained_template,1061,0.5570216776625825,0.6015881646890129
test,en,qwen_class_template,1061,0.5730442978322338,0.6204441385402742
test,en,qwen_evidence_template,1061,0.6418473138548539,0.6973341665141854
test,en,qwen_constrained_bm25,1061,0.5428840716305372,0.5926235299939353
test,en,qwen_class_bm25,1061,0.5589066918001885,0.61137616180029
test,en,qwen_evidence_bm25,1061,0.5749293119698398,0.6305440763027945
test,en,qwen_bucket_gate,1061,0.651324835061263,0.7108247055384662
